City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Sabang,ID,82.47,few clouds,5.8933,95.3214,Hotel Citra
7,Sorong,ID,79.77,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
10,Brokopondo,SR,79.86,broken clouds,4.75,-55.1667,Matu Island
13,Atuona,PF,77.67,light rain,-9.8,-139.0333,Villa Enata
20,East London,ZA,77.43,clear sky,-33.0153,27.9116,Tu Casa
26,Puerto Ayora,EC,87.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
28,Cidreira,BR,78.76,clear sky,-30.1811,-50.2056,Hotel Castelo
32,Hilo,US,77.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
35,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
37,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
39,Arraial Do Cabo,BR,80.46,mist,-22.9661,-42.0278,Pousada Porto Praia
40,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
44,Sonoita,MX,78.53,clear sky,31.85,-112.8333,Santa Ana
47,Sao Joao Da Barra,BR,78.89,light rain,-21.6403,-41.0511,Pousada Porto De Canoas
52,Itarema,BR,84.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
59,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
60,Davila,PH,76.89,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
63,Kapaa,US,76.19,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
65,Port Alfred,ZA,75.87,clear sky,-33.5906,26.891,The Halyards Hotel
66,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
67,Bambous Virieux,MU,78.22,moderate rain,-20.3428,57.7575,Casa Tia Villa
68,Alta Floresta,BR,80.42,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
69,Castro,BR,80.06,few clouds,-24.7911,-50.0119,CHACARA BAILLY
70,Padang,ID,76.86,overcast clouds,-0.9492,100.3543,Mercure Padang
72,Rikitea,PF,79.02,light rain,-23.1203,-134.9692,People ThankYou
76,Faanui,PF,80.69,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
77,San Matias,BO,89.06,moderate rain,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
79,Katherine,AU,77.32,clear sky,-14.4667,132.2667,Pine Tree Motel
82,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
86,General Roca,AR,86.4,few clouds,-39.0333,-67.5833,Hotel El Recreo
87,Vanimo,PG,77.18,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
89,Kahului,US,76.26,few clouds,20.8947,-156.47,Maui Seaside Hotel
90,Saint-Philippe,RE,78.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
95,Pemba,MZ,77.7,broken clouds,-12.974,40.5178,Guesthouse Samotina
99,Butaritari,KI,82.74,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
101,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
114,Paragominas,BR,85.8,few clouds,-2.9667,-47.4833,INOVA
115,Purranque,CL,79.93,overcast clouds,-40.9167,-73.1667,HOSPADAJE ERICA
123,Novo Oriente,BR,85.66,overcast clouds,-5.5344,-40.7742,Golden Palace Hotel
143,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
144,Luwuk,ID,76.17,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
145,Bonthe,SL,79.95,few clouds,7.5264,-12.505,Bonthe Holiday Village
146,Lazaro Cardenas,MX,87.6,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
148,Inhambane,MZ,78.78,few clouds,-23.865,35.3833,Oceano
155,Nacala,MZ,76.87,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
160,Lompoc,US,85.59,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
161,Pisco,PE,76.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
162,Half Moon Bay,US,75.61,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
165,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
166,Ancud,CL,79.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
172,Bakersfield,US,79.45,haze,35.3733,-119.0187,The Padre Hotel
175,Jacareacanga,BR,82.2,moderate rain,-6.2222,-57.7528,Casa do Ian😎
182,Souillac,MU,80.98,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
197,Talara,PE,84.96,clear sky,-4.5772,-81.2719,Hostal Oro Negro
199,Placerville,US,77.54,clear sky,38.7296,-120.7986,Historic Cary House Hotel
203,Kampong Chhnang,KH,77.95,broken clouds,12.1667,104.55,ផ្ទះសំណាក់ហេងស្រស់
205,Voh,NC,76.15,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
207,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
208,Diamantino,BR,82.26,overcast clouds,-14.4086,-56.4461,Hotel Delta
211,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
215,Tecoanapa,MX,83.03,overcast clouds,16.5167,-98.75,Hotel Manglares
217,Angoche,MZ,78.39,light rain,-16.2325,39.9086,Guest House HESADA
218,Dunkwa,GH,78.55,moderate rain,5.9656,-1.78,Tim Freeman Gold City Hotel
220,Huarmey,PE,76.53,scattered clouds,-10.0681,-78.1522,Hotel Miramar
225,San Policarpo,PH,78.31,overcast clouds,12.1791,125.5072,Agapita M. Nicart
226,Sao Raimundo Das Mangabeiras,BR,83.59,few clouds,-7.0219,-45.4811,Hotel Tropical
231,Caravelas,BR,82.81,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
239,Anloga,GH,84.42,overcast clouds,5.7947,0.8973,Pin Drop Hotel
241,Kendari,ID,75.25,light rain,-3.945,122.4989,Hotel Wixel
244,Pasaco,GT,89.98,clear sky,13.9772,-90.2064,Casa Fina
246,Saint-Pierre,RE,78.44,few clouds,-21.3393,55.4781,Lindsey Hôtel
247,Jubasan,PH,76.73,scattered clouds,12.4844,124.2872,"Town Center, Ocean Front View! Free Breakfast!"
253,Palm Harbor,US,84.47,clear sky,28.0781,-82.7637,"Innisbrook, A Salamander Golf and Spa Resort"
256,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
270,Fare,PF,80.83,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
271,Rawson,AR,80.26,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
290,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
291,Piacabucu,BR,85.39,clear sky,-10.4056,-36.4344,Piaçabuçu News
294,Bosaso,SO,75.7,broken clouds,11.2842,49.1816,Red Sea Hotel
295,Soyo,AO,80.65,scattered clouds,-6.1349,12.3689,Hotel Mpampa
296,Mackay,AU,78.78,scattered clouds,-21.15,149.2,International Lodge Motel
297,Vallenar,CL,84.92,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
299,The Valley,AI,78.94,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
301,Marsh Harbour,BS,76.71,few clouds,26.5412,-77.0636,Abaco Beach Resort
303,Saint-Georges,GD,82.08,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
307,Samana,DO,79.02,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
308,Nova Granada,BR,86.25,overcast clouds,-20.5339,-49.3142,Casa do maikão
312,Pangai,TO,81.93,light rain,-19.8,-174.35,Ha'apai Beach Resort
316,San Nicolas,PH,75.25,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
317,Nuevo Progreso,MX,78.6,scattered clouds,23.1667,-97.95,Balneario Rio el Paraiso
320,Alamos,MX,81.01,broken clouds,27.0167,-108.9333,Luz del Sol
323,Tabou,CI,79.18,clear sky,4.423,-7.3528,hotêl doufoulougou
324,Salinopolis,BR,83.21,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
332,Bengkulu,ID,75.92,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
336,Port-Gentil,GA,80.58,light rain,-0.7193,8.7815,Fengshui Residence
340,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
342,Sangmelima,CM,76.17,clear sky,2.9333,11.9833,gamestar hotel
343,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
348,Upata,VE,82.18,overcast clouds,8.0086,-62.3989,Posada Villa Nela
350,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
352,Coruripe,BR,84.49,clear sky,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
356,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
361,Maragogipe,BR,84.25,overcast clouds,-12.7778,-38.9194,Hotel Maragogipe
362,Sumter,US,84.18,clear sky,28.7086,-82.0831,Paradise Oaks RV Resort
368,Buckeye,US,80.55,clear sky,33.3703,-112.5838,"Buckeye Motor Hotel- ROOMS AVAILABLE, Call for more info"
375,Progreso,MX,88.11,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
376,Bubaque,GW,80.65,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
382,Acarau,BR,84.25,overcast clouds,-2.8856,-40.12,castelo pizzaria
385,Port Shepstone,ZA,76.55,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
386,Praia,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
393,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
395,Mogadishu,SO,77.34,overcast clouds,2.0371,45.3438,Hotel Juba
397,San-Pedro,CI,79.07,scattered clouds,4.7485,-6.6363,Hotel Maria
399,Kandi,BJ,82.54,broken clouds,11.1342,2.9386,Baric Motel De Kandi
406,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
409,Namibe,AO,76.23,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
413,Oriximina,BR,83.55,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
414,Alyangula,AU,75.07,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
417,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
421,Black River,JM,85.98,light rain,18.0264,-77.8487,Idlers' Rest Beach Hotel
423,Mbandaka,CD,81.7,broken clouds,0.0487,18.2603,Guest House Epervier
424,Port Antonio,JM,85.91,scattered clouds,18.18,-76.4612,The Trident Hotel
426,Lotofaga,WS,80.38,light rain,-13.9764,-171.8578,Sataoa Beach Fales
427,Pampierstad,ZA,75.58,clear sky,-27.7832,24.6877,BAROLONG METHODIST CHURCH
429,Natitingou,BJ,79.81,scattered clouds,10.3042,1.3796,Auberge Centrale
436,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
438,Vao,NC,79.84,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
443,Sao Filipe,CV,78.35,broken clouds,14.8961,-24.4956,Hotel Xaguate
444,Comodoro Rivadavia,AR,85.86,clear sky,-45.8667,-67.5,Austral Hotel
448,San Rafael,AR,75.72,clear sky,-34.6177,-68.3301,Hotel San Rafael
462,Kousseri,CM,78.76,scattered clouds,12.0769,15.0306,Le Pilotis
465,Hambantota,LK,76.44,overcast clouds,6.1241,81.1185,Bungalow 63
467,Zacualpan,MX,87.42,broken clouds,21.25,-105.1667,La Colorada B&B
476,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
477,Laguna,US,78.62,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
479,Kavieng,PG,80.58,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
485,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
492,Ca Mau,VN,76.8,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
496,Mlonggo,ID,75.09,overcast clouds,-6.5333,110.7,Asia Metal Art
514,Rio Grande,BR,78.91,light rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
525,Vila Velha,BR,76.95,light rain,-20.3297,-40.2925,Hotel Vitória Palace
534,Salinas,US,79.81,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
536,Bassila,BJ,83.84,few clouds,9.0081,1.6654,COMPLEXE MAKOYA ET FILS
540,Manggar,ID,78.6,overcast clouds,-2.8833,108.2667,Guest Hotel
543,Miri,MY,75.34,light rain,4.4148,114.0089,"Mega Hotel, Miri"
550,Bourail,NC,78.53,overcast clouds,-21.5667,165.4833,Motel Allamanda
551,Camocim,BR,82.87,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
552,Redlands,US,84.49,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
557,Hualmay,PE,75.36,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
559,Dzilam Gonzalez,MX,83.53,overcast clouds,21.2833,-88.9333,posadas
560,Puerto Colombia,CO,89.69,clear sky,10.9878,-74.9547,Hotel El Emigrante
562,Takoradi,GH,80.29,overcast clouds,4.8845,-1.7554,Raybow International Hotel
567,Le Vauclin,MQ,82.45,broken clouds,14.5452,-60.8388,Hôtel Cap Macabou
572,Pimentel,PE,82.69,clear sky,-6.8367,-79.9342,Casona Del Muelle
574,Harper,LR,78.58,clear sky,4.375,-7.7169,Screensaver
576,Tambura,SS,78.1,few clouds,5.6,27.4667,Rikito Lodge
577,Sao Felix Do Xingu,BR,75.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
585,Pouembout,NC,78.31,overcast clouds,-21.1333,164.9,Camping de Tipenga
587,Sinnamary,GF,78.15,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
588,Meulaboh,ID,77.63,light rain,4.1363,96.1285,Kost Pria
590,Quatre Cocos,MU,80.71,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
592,Samarai,PG,80.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
596,Altamira,BR,86.09,broken clouds,-3.2033,-52.2064,Requinte Hotel
597,Yurimaguas,PE,89.76,few clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
600,Osmena,PH,79.39,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
601,Alcantara,BR,86.2,moderate rain,-2.4089,-44.4147,Pousada da Josefa
602,Praya,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
605,Maceio,BR,87.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
609,Puerto Barrios,GT,84.34,scattered clouds,15.7167,-88.6,Hotel El Castillo
614,Sola,VU,79.72,overcast clouds,-13.8833,167.55,Leumerus Bungalows
622,Carutapera,BR,79.48,overcast clouds,-1.195,-46.02,Lidera
634,Karratha,AU,85.78,broken clouds,-20.7377,116.8463,ibis Styles Karratha
641,Bandarbeyla,SO,76.06,overcast clouds,9.4942,50.8122,JABIR HOTEL
645,Abomey,BJ,82.63,overcast clouds,7.1829,1.9912,Residence Hotel Marie Emmanuella
646,Coahuayana,MX,85.48,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
647,Ipixuna,BR,80.55,broken clouds,-1.7625,-48.8043,Casa da Oscarina
650,Wajir,KE,87.13,broken clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
654,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
668,Mahibadhoo,MV,80.85,overcast clouds,3.7833,72.9667,Omadhoo Inn
670,Chum Phae,TH,76.82,overcast clouds,16.5443,102.0992,Major Grand
671,Itanhandu,BR,83.5,scattered clouds,-22.2958,-44.9347,Hotel casarão
672,Yei,SS,77.65,clear sky,4.095,30.6779,City Link Hotel
673,Paracuru,BR,86.02,overcast clouds,-3.41,-39.0306,Hotel Vento Brasil
674,Lobito,AO,77.02,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
675,Komatipoort,ZA,76.05,clear sky,-25.4332,31.9548,Kruger View Backpackers
677,Catuday,PH,76.37,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
678,Ransang,PH,78.49,light rain,8.9603,117.5828,Black and Crystal Sand Campsite
