City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Baruun-Urt,MN,46.6806,113.2792,-12.89,100,97,3.09,overcast clouds
225,San Policarpo,PH,12.1791,125.5072,78.31,85,93,14.92,overcast clouds
226,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,83.59,69,21,3.15,few clouds
227,Coquimbo,CL,-29.9533,-71.3436,71.33,64,20,13.8,few clouds
228,Saint-Augustin,CA,51.226,-58.6502,33.24,98,100,19.8,snow
229,Innisfail,AU,-17.5333,146.0333,72.93,88,92,4.18,overcast clouds
230,Yulara,AU,-25.2406,130.9889,69.64,43,0,6.91,clear sky
231,Caravelas,BR,-17.7125,-39.2481,82.81,68,99,7.54,overcast clouds
232,Montgomery,US,39.1501,-77.1997,59.29,47,0,12.66,clear sky
233,Lochgilphead,GB,56.038,-5.4321,47.57,85,100,17.4,overcast clouds
234,Portland,US,45.5234,-122.6762,60.78,37,0,15.99,clear sky
235,Russell,US,32.3502,-85.1999,69.91,44,0,0.0,clear sky
236,Airai,TL,-8.9266,125.4092,58.84,93,71,2.42,broken clouds
237,Burnie,AU,-41.0667,145.9167,61.18,78,100,12.77,overcast clouds
238,Champerico,GT,14.3,-91.9167,97.34,56,0,10.09,clear sky
239,Anloga,GH,5.7947,0.8973,84.42,78,100,12.71,overcast clouds
240,Havoysund,NO,70.9963,24.6622,27.48,57,99,22.7,light snow
241,Kendari,ID,-3.945,122.4989,75.25,94,100,3.65,light rain
242,Talnakh,RU,69.4865,88.3972,-8.34,79,12,9.62,few clouds
243,Clonakilty,IE,51.6231,-8.8706,48.09,91,100,11.39,overcast clouds
244,Pasaco,GT,13.9772,-90.2064,89.98,35,1,12.15,clear sky
245,Yumen,CN,40.2833,97.2,25.18,49,100,6.4,overcast clouds
246,Saint-Pierre,RE,-21.3393,55.4781,78.44,78,20,4.61,few clouds
247,Jubasan,PH,12.4844,124.2872,76.73,88,28,10.71,scattered clouds
248,Narsaq,GL,60.9167,-46.05,30.42,98,100,2.1,snow
249,Sobolevo,RU,54.4299,31.8996,23.95,89,22,13.8,few clouds
250,Birobidzhan,RU,48.8,132.95,13.59,96,100,4.27,light snow
251,Rio Gallegos,AR,-51.6226,-69.2181,69.85,21,40,33.38,scattered clouds
252,Atbasar,KZ,51.8,68.3333,12.47,97,99,7.34,overcast clouds
253,Palm Harbor,US,28.0781,-82.7637,84.47,62,0,5.75,clear sky
254,Navalmoral De La Mata,ES,39.8916,-5.5406,55.96,75,100,1.14,overcast clouds
255,Bulle,CH,46.6195,7.0567,36.63,77,100,5.99,overcast clouds
256,Touros,BR,-5.1989,-35.4608,86.9,67,38,10.33,scattered clouds
257,Mayya,RU,61.7333,130.2811,-35.28,100,100,2.73,overcast clouds
258,Japura,ID,-0.3167,102.35,73.06,95,86,1.7,overcast clouds
259,Baiersbronn,DE,48.5,8.3833,33.91,87,100,3.04,overcast clouds
260,Unecha,RU,52.8459,32.6739,18.41,93,6,10.2,clear sky
261,Ardakan,IR,32.31,54.0175,46.78,53,99,5.79,overcast clouds
262,Yaqui,MX,27.3667,-110.1667,75.76,20,100,6.67,overcast clouds
263,Dunn,US,44.95,-91.8835,6.35,59,100,5.75,overcast clouds
264,Sept-Iles,CA,50.2001,-66.3821,34.05,88,100,4.61,overcast clouds
265,San Borja,BO,-14.8167,-66.85,84.9,76,100,3.89,heavy intensity rain
266,Mezen,RU,65.8522,44.24,13.06,95,96,6.93,overcast clouds
267,Pinawa,CA,50.1489,-95.8811,-3.86,82,100,3.31,overcast clouds
268,Naantali,FI,60.4674,22.0243,36.07,86,100,10.36,overcast clouds
269,Nemuro,JP,43.3236,145.575,21.81,80,59,3.27,broken clouds
270,Fare,PF,-16.7,-151.0167,80.83,74,100,15.84,overcast clouds
271,Rawson,AR,-43.3002,-65.1023,80.26,25,100,7.07,overcast clouds
272,Provideniya,RU,64.3833,-173.3,-11.45,82,11,5.99,few clouds
273,Bilibino,RU,68.0546,166.4372,-31.36,100,100,0.81,overcast clouds
274,Kenitra,MA,34.261,-6.5802,60.84,85,6,8.1,clear sky
275,Poltavka,RU,54.3663,71.7632,4.3,97,100,4.43,overcast clouds
276,Aswan,EG,24.0934,32.907,70.9,26,0,9.22,clear sky
277,Parabel,RU,58.6978,81.4825,-6.59,100,70,7.54,broken clouds
278,Anadyr,RU,64.75,177.4833,-26.9,68,0,11.18,clear sky
279,Thompson,CA,55.7435,-97.8558,-7.44,54,0,8.05,clear sky
280,Nouadhibou,MR,20.931,-17.0347,73.38,43,76,13.8,broken clouds
281,Fortuna,US,40.5982,-124.1573,68.94,59,0,1.99,clear sky
282,Guerrero Negro,MX,27.9769,-114.0611,73.0,31,100,2.64,overcast clouds
283,Greece,US,43.2098,-77.6931,31.05,75,100,13.8,overcast clouds
284,Erzin,TR,36.9559,36.2,50.72,70,5,2.44,clear sky
285,Wufeng,CN,27.45,104.8333,28.24,97,100,1.81,snow
286,Moose Factory,CA,51.2585,-80.6094,-5.8,54,0,11.5,clear sky
287,Keningau,MY,5.3378,116.1602,72.05,99,100,0.94,overcast clouds
288,Komsomolskiy,UZ,40.4272,71.7189,40.42,87,100,2.3,fog
289,Timra,SE,62.487,17.3257,31.68,93,75,2.3,broken clouds
290,Cockburn Town,TC,21.4612,-71.1419,80.56,54,40,19.57,scattered clouds
291,Piacabucu,BR,-10.4056,-36.4344,85.39,63,5,15.1,clear sky
292,Faya,SA,18.3851,42.4509,57.72,69,1,6.13,clear sky
293,Saint-Francois,FR,46.4154,3.9054,36.68,79,0,3.44,clear sky
294,Bosaso,SO,11.2842,49.1816,75.7,69,57,4.63,broken clouds
295,Soyo,AO,-6.1349,12.3689,80.65,85,26,9.89,scattered clouds
296,Mackay,AU,-21.15,149.2,78.78,65,40,19.57,scattered clouds
297,Vallenar,CL,-28.5708,-70.7581,84.92,26,0,13.65,clear sky
298,Redcliffe,AU,-27.2307,153.0973,70.14,81,20,10.36,few clouds
299,The Valley,AI,18.217,-63.0578,78.94,69,75,17.27,broken clouds
300,Inuvik,CA,68.3499,-133.7218,-17.54,72,75,6.91,broken clouds
301,Marsh Harbour,BS,26.5412,-77.0636,76.71,74,23,10.38,few clouds
302,Lata,PT,40.1629,-8.3327,55.72,92,93,3.04,overcast clouds
303,Saint-Georges,GD,12.0564,-61.7485,82.08,74,40,11.5,scattered clouds
304,Lavrentiya,RU,65.5833,-171.0,-17.99,94,10,7.16,clear sky
305,Jibuti,DJ,11.5,42.5,72.82,71,84,12.88,broken clouds
306,Vila,PT,42.0304,-8.1588,43.34,86,87,3.44,overcast clouds
307,Samana,DO,19.2056,-69.3369,79.02,89,75,6.91,broken clouds
308,Nova Granada,BR,-20.5339,-49.3142,86.25,74,89,6.49,overcast clouds
309,Khash,IR,28.2211,61.2158,52.03,35,0,1.32,clear sky
310,Larsnes,NO,62.2028,5.5773,42.62,89,100,12.01,overcast clouds
311,Obo,CF,5.3998,26.4869,80.49,24,100,5.32,overcast clouds
312,Pangai,TO,-19.8,-174.35,81.93,76,32,17.74,light rain
313,Northam,GB,51.0333,-4.2167,49.42,96,100,20.85,overcast clouds
314,Dawlatabad,AF,36.4141,64.9053,43.56,61,100,4.27,overcast clouds
315,Bereda,ES,43.2686,-7.5406,46.15,92,80,1.61,broken clouds
316,San Nicolas,PH,18.1725,120.5953,75.25,80,90,4.59,overcast clouds
317,Nuevo Progreso,MX,23.1667,-97.95,78.6,65,50,4.0,scattered clouds
318,Te Anau,NZ,-45.4167,167.7167,46.09,88,89,4.16,overcast clouds
319,Mapulot,PH,14.0339,122.5408,72.54,97,100,2.15,overcast clouds
320,Alamos,MX,27.0167,-108.9333,81.01,16,77,5.93,broken clouds
321,Deputatskiy,RU,69.3,139.9,-11.04,93,100,6.24,overcast clouds
322,Sayat,TM,38.7839,63.8803,37.27,46,0,7.9,clear sky
323,Tabou,CI,4.423,-7.3528,79.18,82,7,7.56,clear sky
324,Salinopolis,BR,-0.6136,-47.3561,83.21,73,26,10.04,scattered clouds
325,Merauke,ID,-8.4667,140.3333,76.8,84,0,10.18,clear sky
326,Srednekolymsk,RU,67.45,153.6833,-31.97,98,95,7.25,overcast clouds
327,Bailen,ES,38.0964,-3.7779,55.26,70,95,3.8,overcast clouds
328,Atasu,KZ,48.6814,71.6433,14.47,95,100,11.92,overcast clouds
329,Qasigiannguit,GL,68.8193,-51.1922,25.05,90,100,9.44,overcast clouds
330,Dodola,ET,6.9833,39.1833,57.33,36,0,3.91,clear sky
331,Vardo,NO,70.3705,31.1107,25.74,71,15,13.0,few clouds
332,Bengkulu,ID,-3.8004,102.2655,75.92,84,79,4.29,broken clouds
333,Broken Hill,AU,-31.95,141.4333,71.31,33,0,8.05,clear sky
334,Abrau-Dyurso,RU,44.69,37.59,42.96,81,100,16.17,overcast clouds
335,Umm Kaddadah,SD,13.6017,26.6876,63.93,16,6,13.44,clear sky
336,Port-Gentil,GA,-0.7193,8.7815,80.58,84,79,8.59,light rain
337,Trebon,CZ,49.0036,14.7707,34.48,74,0,10.18,clear sky
338,Yima,CN,34.7381,111.8839,35.47,73,11,4.99,few clouds
339,Ust-Barguzin,RU,53.45,108.9833,-24.41,96,24,4.72,few clouds
340,Olinda,BR,-8.0089,-34.8553,85.73,70,20,8.05,few clouds
341,Svetlyy,RU,54.675,20.1347,33.85,69,96,17.31,overcast clouds
342,Sangmelima,CM,2.9333,11.9833,76.17,29,6,1.63,clear sky
343,Port Blair,IN,11.6667,92.75,77.04,78,20,3.44,mist
344,Nikolskoye,RU,59.7035,30.7861,34.72,96,100,12.12,snow
345,Xifeng,CN,42.7372,124.7222,13.28,67,7,4.9,clear sky
346,Abu Zabad,SD,12.35,29.25,70.25,15,0,12.24,clear sky
347,Poyarkovo,RU,49.6,128.6833,2.7,96,100,8.66,overcast clouds
348,Upata,VE,8.0086,-62.3989,82.18,46,95,9.44,overcast clouds
349,Poum,NC,-20.2333,164.0167,80.71,75,100,2.98,overcast clouds
350,Carnarvon,AU,-24.8667,113.6333,82.47,61,100,8.05,overcast clouds
351,Osoyoos,CA,49.0331,-119.4524,37.33,51,0,4.61,clear sky
352,Coruripe,BR,-10.1256,-36.1756,84.49,65,3,15.86,clear sky
353,Porto-Vecchio,FR,41.591,9.2795,49.46,93,0,5.75,clear sky
354,Awbari,LY,26.5921,12.7805,56.17,26,0,9.69,clear sky
355,Cap-Chat,CA,49.1001,-66.6821,33.8,86,100,0.0,overcast clouds
356,Hithadhoo,MV,-0.6,73.0833,81.5,68,100,9.35,overcast clouds
357,Mount Isa,AU,-20.7333,139.5,73.17,100,4,1.14,clear sky
358,Futog,RS,45.2419,19.707,39.42,57,0,7.0,clear sky
359,Olga,RU,43.7444,135.2892,13.35,59,13,16.22,few clouds
360,Wanning,CN,18.8003,110.3967,65.59,80,100,5.14,overcast clouds
361,Maragogipe,BR,-12.7778,-38.9194,84.25,75,100,6.78,overcast clouds
362,Sumter,US,28.7086,-82.0831,84.18,39,10,4.79,clear sky
363,Shimoda,JP,34.6667,138.95,41.11,64,92,2.04,overcast clouds
364,Glenwood Springs,US,39.5505,-107.3248,34.41,36,0,3.44,clear sky
365,Bogale,MM,16.2833,95.4,64.96,64,39,7.72,scattered clouds
366,Iberia,US,29.9502,-91.7507,69.96,56,100,10.36,overcast clouds
367,Chengdu,CN,30.6667,104.0667,40.89,87,100,4.47,mist
368,Buckeye,US,33.3703,-112.5838,80.55,9,2,12.66,clear sky
369,Bilma,NE,18.6853,12.9164,67.41,15,0,7.65,clear sky
370,Zyryanka,RU,65.75,150.85,-31.72,96,9,7.81,clear sky
371,Polohy,UA,47.4844,36.2536,34.09,75,100,18.3,overcast clouds
372,Taltal,CL,-25.4,-70.4833,70.97,70,22,6.87,few clouds
373,Asau,RO,46.4333,26.4,31.75,92,94,1.92,overcast clouds
374,Ingham,US,42.6,-84.3833,21.15,64,100,6.91,overcast clouds
375,Progreso,MX,21.2833,-89.6667,88.11,73,90,11.21,overcast clouds
376,Bubaque,GW,11.2833,-15.8333,80.65,58,0,12.86,clear sky
377,Adrar,MR,20.5022,-10.0711,69.48,18,2,10.07,clear sky
378,Bonavista,CA,48.6499,-53.1147,41.11,80,100,25.26,overcast clouds
379,Gashua,NG,12.871,11.0482,73.13,13,7,10.67,clear sky
380,Cochrane,CA,51.1834,-114.4687,44.87,33,100,12.66,overcast clouds
381,Kichera,RU,55.9375,110.0997,-18.4,84,8,5.5,clear sky
382,Acarau,BR,-2.8856,-40.12,84.25,65,99,13.65,overcast clouds
383,Xingyi,CN,24.1877,102.817,43.74,68,0,1.3,clear sky
384,Hasaki,JP,35.7333,140.8333,27.0,61,90,6.33,overcast clouds
385,Port Shepstone,ZA,-30.7414,30.455,76.55,88,100,17.81,overcast clouds
386,Praia,CV,14.9215,-23.5087,75.74,64,100,18.41,overcast clouds
387,Coromandel,BR,-18.4733,-47.2003,70.74,89,91,8.41,overcast clouds
388,Chunhuhub,MX,19.55,-88.6833,79.25,82,43,4.21,scattered clouds
389,Toktogul,KG,41.8708,72.9402,30.16,92,100,0.29,overcast clouds
390,Gold Coast,AU,-28.0,153.4333,70.03,78,40,10.36,scattered clouds
391,Oksfjord,NO,70.2396,22.3479,27.52,88,100,9.86,light snow
392,Marawi,PH,7.9986,124.2928,64.65,90,100,2.84,overcast clouds
393,Tiarei,PF,-17.5333,-149.3333,86.02,73,74,14.76,broken clouds
394,Leshukonskoye,RU,64.8989,45.7622,14.36,96,92,5.39,overcast clouds
395,Mogadishu,SO,2.0371,45.3438,77.34,80,100,19.57,overcast clouds
396,Apastovo,RU,55.2029,48.5109,28.71,96,100,8.84,overcast clouds
397,San-Pedro,CI,4.7485,-6.6363,79.07,83,39,7.61,scattered clouds
398,Claveria,PH,18.6074,121.0832,73.47,89,87,11.68,overcast clouds
399,Kandi,BJ,11.1342,2.9386,82.54,10,82,5.5,broken clouds
400,Boguchany,RU,58.3814,97.4531,-20.02,100,56,2.98,broken clouds
401,Gorom-Gorom,BF,14.4439,-0.2361,77.4,10,0,3.27,clear sky
402,Naples,IT,40.8333,14.25,54.57,72,20,8.05,few clouds
403,Salekhard,RU,66.53,66.6019,-18.83,99,100,6.2,overcast clouds
404,Beihai,CN,21.4833,109.1,59.59,89,100,12.44,overcast clouds
405,Mao,ES,39.8885,4.2658,48.76,81,0,4.61,clear sky
406,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,21.85,few clouds
407,Raga,SS,8.4596,25.678,75.97,18,11,4.38,few clouds
408,Lagoa,PT,39.05,-27.9833,60.17,88,100,22.66,overcast clouds
409,Namibe,AO,-15.1961,12.1522,76.23,80,83,7.78,broken clouds
410,Casablanca,MA,33.5928,-7.6192,61.14,82,0,9.22,clear sky
411,Grindavik,IS,63.8424,-22.4338,25.27,63,0,12.66,clear sky
412,Ayan,RU,56.45,138.1667,-5.73,80,69,6.73,broken clouds
413,Oriximina,BR,-1.7656,-55.8661,83.55,68,97,2.04,overcast clouds
414,Alyangula,AU,-13.8483,136.4192,75.07,100,76,4.61,broken clouds
415,Baykit,RU,61.67,96.37,-15.09,100,34,2.46,scattered clouds
416,Mildura,AU,-34.2,142.15,73.36,43,30,9.22,scattered clouds
417,Isangel,VU,-19.55,169.2667,77.11,94,75,0.0,broken clouds
418,Surab,PK,28.4914,66.2585,46.13,34,0,2.42,clear sky
419,Victor Harbor,AU,-35.5667,138.6167,71.47,37,96,6.55,overcast clouds
420,Naze,JP,28.3667,129.4833,63.28,91,100,9.44,light rain
421,Black River,JM,18.0264,-77.8487,85.98,66,19,16.69,light rain
422,Jaslo,PL,49.7451,21.4725,29.37,77,0,6.15,clear sky
423,Mbandaka,CD,0.0487,18.2603,81.7,49,71,4.47,broken clouds
424,Port Antonio,JM,18.18,-76.4612,85.91,73,32,13.15,scattered clouds
425,Egvekinot,RU,66.3167,-179.1667,-20.43,88,21,8.14,few clouds
426,Lotofaga,WS,-13.9764,-171.8578,80.38,77,63,12.26,light rain
427,Pampierstad,ZA,-27.7832,24.6877,75.58,27,0,7.54,clear sky
428,Ostrovnoy,RU,68.0531,39.5131,9.73,95,57,6.24,broken clouds
429,Natitingou,BJ,10.3042,1.3796,79.81,13,33,2.19,scattered clouds
430,Kidodi,TZ,-7.6036,37.0044,71.85,94,100,1.63,overcast clouds
431,Nkowakowa,ZA,-23.8878,30.2871,69.85,50,1,2.75,clear sky
432,Mindelo,CV,16.8901,-24.9804,74.75,60,100,24.16,overcast clouds
433,Itoman,JP,26.1247,127.6694,69.82,83,96,18.41,overcast clouds
434,Novoukrainskiy,RU,44.8969,38.0522,43.68,85,100,12.75,overcast clouds
435,Khandyga,RU,62.6667,135.6,-41.04,100,98,2.3,overcast clouds
436,Cabedelo,BR,-6.9811,-34.8339,86.67,71,66,10.16,broken clouds
437,Aklavik,CA,68.2191,-135.0107,-17.57,68,75,3.44,broken clouds
438,Vao,NC,-22.6667,167.4833,79.84,82,100,4.59,overcast clouds
439,Neryungri,RU,56.6709,124.6491,-35.3,100,95,2.24,overcast clouds
440,Kilgore,US,32.3863,-94.8758,41.29,87,75,11.5,light rain
441,Kastamonu,TR,41.5,33.6667,30.87,85,100,4.23,overcast clouds
442,Yarada,IN,17.65,83.2667,73.96,77,93,8.46,overcast clouds
443,Sao Filipe,CV,14.8961,-24.4956,78.35,46,77,20.02,broken clouds
444,Comodoro Rivadavia,AR,-45.8667,-67.5,85.86,23,0,11.5,clear sky
445,Gat,IL,31.61,34.7642,54.39,100,0,5.08,clear sky
446,Yanliang,CN,34.6592,109.2292,36.59,70,0,5.77,clear sky
447,Washougal,US,45.5826,-122.3534,60.66,35,0,32.01,clear sky
448,San Rafael,AR,-34.6177,-68.3301,75.72,22,0,12.57,clear sky
449,Sioux Lookout,CA,50.1001,-91.917,-9.02,59,75,5.75,broken clouds
450,Callaway,US,30.153,-85.5699,67.17,73,100,5.01,overcast clouds
